composition,formation_energy (eV/atom),band_gap (eV),sum_Number,sum_MendeleevNumber,sum_AtomicWeight,sum_MeltingT,sum_Column,sum_Row,sum_CovalentRadius,sum_Electronegativity,sum_NsValence,sum_NpValence,sum_NdValence,sum_NfValence,sum_NValence,sum_NsUnfilled,sum_NpUnfilled,sum_NdUnfilled,sum_NfUnfilled,sum_NUnfilled,sum_GSvolume_pa,sum_GSbandgap,sum_GSmagmom,sum_SpaceGroupNumber,avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,dev_Number,dev_MendeleevNumber,dev_AtomicWeight,dev_MeltingT,dev_Column,dev_Row,dev_CovalentRadius,dev_Electronegativity,dev_NsValence,dev_NpValence,dev_NdValence,dev_NfValence,dev_NValence,dev_NsUnfilled,dev_NpUnfilled,dev_NdUnfilled,dev_NfUnfilled,dev_NUnfilled,dev_GSvolume_pa,dev_GSbandgap,dev_GSmagmom,dev_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber,max_Number,max_MendeleevNumber,max_AtomicWeight,max_MeltingT,max_Column,max_Row,max_CovalentRadius,max_Electronegativity,max_NsValence,max_NpValence,max_NdValence,max_NfValence,max_NValence,max_NsUnfilled,max_NpUnfilled,max_NdUnfilled,max_NfUnfilled,max_NUnfilled,max_GSvolume_pa,max_GSbandgap,max_GSmagmom,max_SpaceGroupNumber,min_Number,min_MendeleevNumber,min_AtomicWeight,min_MeltingT,min_Column,min_Row,min_CovalentRadius,min_Electronegativity,min_NsValence,min_NpValence,min_NdValence,min_NfValence,min_NValence,min_NsUnfilled,min_NpUnfilled,min_NdUnfilled,min_NfUnfilled,min_NUnfilled,min_GSvolume_pa,min_GSbandgap,min_GSmagmom,min_SpaceGroupNumber,mode_Number,mode_MendeleevNumber,mode_AtomicWeight,mode_MeltingT,mode_Column,mode_Row,mode_CovalentRadius,mode_Electronegativity,mode_NsValence,mode_NpValence,mode_NdValence,mode_NfValence,mode_NValence,mode_NsUnfilled,mode_NpUnfilled,mode_NdUnfilled,mode_NfUnfilled,mode_NUnfilled,mode_GSvolume_pa,mode_GSbandgap,mode_GSmagmom,mode_SpaceGroupNumber
Ac1 Al1 O3,-3.690019421,4.1024,126.0,348.0,301.9797386,2420.8700000000003,64.0,16.0,534.0,13.030000000000001,10.0,13.0,1.0,0.0,24.0,0.0,11.0,9.0,0.0,20.0,88.3075,0.0,0.0,486.0,25.200000000000003,69.6,60.39594772000001,484.17400000000004,12.8,3.2,106.80000000000001,2.606,2.0,2.6,0.2,0.0,4.8,0.0,2.2,1.8,0.0,4.0,17.661500000000004,0.0,0.0,97.2,25.520000000000003,22.240000000000002,66.64162091200001,515.2488000000001,3.9199999999999995,1.52,48.96000000000001,1.0008,0.0,1.6800000000000002,0.32000000000000006,0.0,1.44,0.0,1.12,2.8800000000000003,0.0,2.4,10.740400000000003,0.0,0.0,102.24000000000001,81.0,73.0,211.0006,1268.2,13.0,5.0,149.0,2.34,0.0,4.0,1.0,0.0,3.0,0.0,5.0,9.0,0.0,7.0,35.4075,0.0,0.0,213.0,89.0,87.0,227.0,1323.0,16.0,7.0,215.0,3.44,2.0,4.0,1.0,0.0,6.0,0.0,5.0,9.0,0.0,9.0,44.5125,0.0,0.0,225.0,8.0,14.0,15.9994,54.8,3.0,2.0,66.0,1.1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Ac1 Cr1 O3,-3.13897213,2.0031,137.0,324.0,326.9943,3667.4,57.0,17.0,552.0,13.08,9.0,12.0,6.0,0.0,27.0,1.0,6.0,14.0,0.0,21.0,83.0175,0.0,0.0,490.0,27.400000000000002,64.8,65.39886,733.48,11.4,3.4000000000000004,110.4,2.616,1.8,2.4,1.2,0.0,5.4,0.2,1.2,2.8,0.0,4.2,16.6035,0.0,0.0,98.00000000000001,24.64,26.64,64.640456,814.416,5.52,1.6800000000000002,53.28,0.9887999999999999,0.31999999999999995,1.92,1.52,0.0,0.9599999999999999,0.32000000000000006,0.96,3.3600000000000003,0.0,2.6399999999999997,11.1636,0.0,0.0,103.20000000000002,81.0,73.0,211.0006,2125.2,13.0,5.0,149.0,2.34,1.0,4.0,5.0,0.0,3.0,1.0,2.0,9.0,0.0,7.0,35.4075,0.0,0.0,217.0,89.0,87.0,227.0,2180.0,16.0,7.0,215.0,3.44,2.0,4.0,5.0,0.0,6.0,1.0,2.0,9.0,0.0,9.0,44.5125,0.0,0.0,229.0,8.0,14.0,15.9994,54.8,3.0,2.0,66.0,1.1,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Ac1 Cu1 O3,-2.422892424,0.0,142.0,339.0,338.5442,2845.17,62.0,17.0,545.0,13.32,9.0,12.0,11.0,0.0,32.0,1.0,6.0,9.0,0.0,16.0,82.89750000000001,0.0,0.0,486.0,28.400000000000002,67.8,67.70884000000001,569.034,12.4,3.4000000000000004,109.0,2.664,1.8,2.4,2.2,0.0,6.4,0.2,1.2,1.8,0.0,3.2,16.579500000000003,0.0,0.0,97.2,24.479999999999997,23.04,63.716464,617.0808000000001,4.32,1.6800000000000002,51.60000000000001,0.9311999999999999,0.31999999999999995,1.92,3.12,0.0,1.8400000000000003,0.32000000000000006,0.96,2.8800000000000003,0.0,2.3200000000000003,11.173200000000001,0.0,0.0,102.24000000000001,81.0,73.0,211.0006,1302.97,13.0,5.0,149.0,2.34,1.0,4.0,10.0,0.0,8.0,1.0,2.0,9.0,0.0,8.0,35.4075,0.0,0.0,213.0,89.0,87.0,227.0,1357.77,16.0,7.0,215.0,3.44,2.0,4.0,10.0,0.0,11.0,1.0,2.0,9.0,0.0,9.0,44.5125,0.0,0.0,225.0,8.0,14.0,15.9994,54.8,3.0,2.0,66.0,1.1,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Ac1 Fe1 O3,-2.771539466,0.9888,139.0,330.0,330.8432,3298.4,59.0,17.0,545.0,13.25,10.0,12.0,7.0,0.0,29.0,0.0,6.0,13.0,0.0,19.0,82.5575,0.0,2.1106628,490.0,27.8,66.0,66.16864,659.6800000000001,11.8,3.4000000000000004,109.0,2.6500000000000004,2.0,2.4,1.4000000000000001,0.0,5.8,0.0,1.2,2.6,0.0,3.8,16.5115,0.0,0.42213256000000005,98.00000000000001,24.480000000000004,25.200000000000003,64.33254400000001,725.856,5.04,1.6800000000000002,51.60000000000001,0.9479999999999998,0.0,1.92,1.84,0.0,1.12,0.0,0.96,3.12,0.0,2.16,11.200400000000002,0.0,0.6754120960000001,103.20000000000002,81.0,73.0,211.0006,1756.2,13.0,5.0,149.0,2.34,0.0,4.0,6.0,0.0,5.0,0.0,2.0,9.0,0.0,7.0,35.4075,0.0,2.1106628,217.0,89.0,87.0,227.0,1811.0,16.0,7.0,215.0,3.44,2.0,4.0,6.0,0.0,8.0,0.0,2.0,9.0,0.0,9.0,44.5125,0.0,2.1106628,229.0,8.0,14.0,15.9994,54.8,3.0,2.0,66.0,1.1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Ac1 Ga1 O3,-3.063252617,2.8959,144.0,349.0,344.7212,1790.31,64.0,17.0,535.0,13.23,10.0,13.0,11.0,0.0,34.0,0.0,11.0,9.0,0.0,20.0,90.685,0.0,0.0,325.0,28.8,69.8,68.94424000000001,358.062,12.8,3.4000000000000004,107.0,2.646,2.0,2.6,2.2,0.0,6.8,0.0,2.2,1.8,0.0,4.0,18.137000000000004,0.0,0.0,65.0,24.96,22.32,63.53380800000001,385.9752,3.9199999999999995,1.6800000000000002,49.2,0.9527999999999999,0.0,1.6800000000000002,3.12,0.0,2.48,0.0,1.12,2.8800000000000003,0.0,2.4,10.838400000000002,0.0,0.0,64.0,81.0,73.0,211.0006,1268.2,13.0,5.0,149.0,2.34,0.0,4.0,10.0,0.0,10.0,0.0,5.0,9.0,0.0,7.0,35.4075,0.0,0.0,213.0,89.0,87.0,227.0,1323.0,16.0,7.0,215.0,3.44,2.0,4.0,10.0,0.0,13.0,0.0,5.0,9.0,0.0,9.0,44.5125,0.0,0.0,225.0,8.0,14.0,15.9994,54.8,3.0,2.0,66.0,1.1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Ac1 Mn1 O3,-2.973630023,0.0,138.0,327.0,329.936245,3006.4,58.0,17.0,552.0,12.97,10.0,12.0,6.0,0.0,28.0,0.0,6.0,14.0,0.0,20.0,82.3150862069,0.0,0.000310120689655,478.0,27.6,65.39999999999999,65.987249,601.2800000000001,11.6,3.4000000000000004,110.4,2.5940000000000003,2.0,2.4,1.2,0.0,5.6,0.0,1.2,2.8,0.0,4.0,16.46301724138,0.0,6.2024137931e-05,95.60000000000001,24.560000000000002,25.92,64.40510040000001,655.7760000000001,5.279999999999999,1.6800000000000002,53.28,1.0151999999999999,0.0,1.92,1.52,0.0,1.0400000000000003,0.0,0.96,3.3600000000000003,0.0,2.4,11.219793103448001,0.0,9.923862068959999e-05,100.32,81.0,73.0,211.0006,1464.2,13.0,5.0,149.0,2.34,0.0,4.0,5.0,0.0,4.0,0.0,2.0,9.0,0.0,7.0,35.4075,0.0,0.000310120689655,213.0,89.0,87.0,227.0,1519.0,16.0,7.0,215.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,9.0,0.0,9.0,44.5125,0.0,0.000310120689655,225.0,8.0,14.0,15.9994,54.8,3.0,2.0,66.0,1.1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Ac1 Ni1 O3,-2.455476575,0.0,141.0,336.0,333.6916,3215.4,61.0,17.0,537.0,13.33,10.0,12.0,9.0,0.0,31.0,0.0,6.0,11.0,0.0,17.0,82.14750000000001,0.0,0.5953947,486.0,28.200000000000003,67.2,66.73832,643.08,12.2,3.4000000000000004,107.4,2.6660000000000004,2.0,2.4,1.8,0.0,6.199999999999999,0.0,1.2,2.2,0.0,3.4000000000000004,16.4295,0.0,0.11907894000000002,97.2,24.32,23.759999999999998,64.104672,705.9360000000001,4.5600000000000005,1.6800000000000002,49.68000000000001,0.9287999999999998,0.0,1.92,2.4800000000000004,0.0,1.5199999999999998,0.0,0.96,2.72,0.0,2.24,11.233200000000002,0.0,0.19052630400000004,102.24000000000001,81.0,73.0,211.0006,1673.2,13.0,5.0,149.0,2.34,0.0,4.0,8.0,0.0,7.0,0.0,2.0,9.0,0.0,7.0,35.4075,0.0,0.5953947,213.0,89.0,87.0,227.0,1728.0,16.0,7.0,215.0,3.44,2.0,4.0,8.0,0.0,10.0,0.0,2.0,9.0,0.0,9.0,44.5125,0.0,0.5953947,225.0,8.0,14.0,15.9994,54.8,3.0,2.0,66.0,1.1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Ac1 Ti1 O3,-3.607635738,0.0,135.0,318.0,322.8652,3428.4,55.0,17.0,573.0,12.96,10.0,12.0,3.0,0.0,25.0,0.0,6.0,17.0,0.0,23.0,88.5175,0.0,2.25333333333e-05,455.0,27.000000000000004,63.599999999999994,64.57304,685.6800000000001,11.0,3.4000000000000004,114.6,2.592,2.0,2.4,0.6000000000000001,0.0,5.0,0.0,1.2,3.4000000000000004,0.0,4.6000000000000005,17.703500000000002,0.0,4.50666666666e-06,91.00000000000001,24.800000000000004,28.080000000000002,64.97078400000001,757.056,6.0,1.6800000000000002,58.32,1.0175999999999998,0.0,1.92,0.72,0.0,1.2000000000000002,0.0,0.96,4.08,0.0,3.12,10.723600000000001,0.0,7.210666666655999e-06,94.80000000000001,81.0,73.0,211.0006,1886.2,13.0,5.0,149.0,2.34,0.0,4.0,2.0,0.0,3.0,0.0,2.0,9.0,0.0,7.0,35.4075,0.0,2.25333333333e-05,213.0,89.0,87.0,227.0,1941.0,16.0,7.0,215.0,3.44,2.0,4.0,2.0,0.0,6.0,0.0,2.0,9.0,0.0,9.0,44.5125,0.0,2.25333333333e-05,225.0,8.0,14.0,15.9994,54.8,3.0,2.0,66.0,1.1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Ac1 V1 O3,-3.141069096,0.0,136.0,321.0,325.9397,3670.4,56.0,17.0,566.0,13.05,10.0,12.0,4.0,0.0,26.0,0.0,6.0,16.0,0.0,22.0,84.8375,0.0,0.0,490.0,27.200000000000003,64.2,65.18794,734.08,11.2,3.4000000000000004,113.19999999999999,2.6100000000000003,2.0,2.4,0.8,0.0,5.199999999999999,0.0,1.2,3.2,0.0,4.4,16.9675,0.0,0.0,98.00000000000001,24.72,27.36,64.724824,815.1360000000001,5.76,1.6800000000000002,56.64,0.9959999999999999,0.0,1.92,0.96,0.0,0.9600000000000002,0.0,0.96,3.84,0.0,2.88,11.018,0.0,0.0,103.20000000000002,81.0,73.0,211.0006,2128.2,13.0,5.0,149.0,2.34,0.0,4.0,3.0,0.0,3.0,0.0,2.0,9.0,0.0,7.0,35.4075,0.0,0.0,217.0,89.0,87.0,227.0,2183.0,16.0,7.0,215.0,3.44,2.0,4.0,3.0,0.0,6.0,0.0,2.0,9.0,0.0,9.0,44.5125,0.0,0.0,229.0,8.0,14.0,15.9994,54.8,3.0,2.0,66.0,1.1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
Ag1 As1 O3,-1.269711259,0.2921,104.0,410.0,230.788,2489.3300000000004,74.0,15.0,462.0,14.43,9.0,15.0,20.0,0.0,44.0,1.0,9.0,0.0,0.0,10.0,65.82,0.0,0.0,427.0,20.8,82.0,46.1576,497.866,14.8,3.0,92.4,2.886,1.8,3.0,4.0,0.0,8.8,0.2,1.8,0.0,0.0,2.0,13.164000000000001,0.0,0.0,85.4,15.36,6.800000000000001,36.189840000000004,531.6792,1.5199999999999996,1.2000000000000002,31.680000000000003,0.6647999999999998,0.31999999999999995,1.2000000000000002,4.800000000000001,0.0,3.3600000000000003,0.32000000000000006,0.7200000000000001,0.0,0.0,0.4,4.8708,0.0,0.0,88.08000000000001,39.0,22.0,91.86880000000001,1180.13,5.0,3.0,79.0,1.51,1.0,4.0,10.0,0.0,9.0,1.0,3.0,0.0,0.0,2.0,13.07,0.0,0.0,213.0,47.0,87.0,107.8682,1234.93,16.0,5.0,145.0,3.44,2.0,4.0,10.0,0.0,15.0,1.0,3.0,0.0,0.0,3.0,22.175,0.0,0.0,225.0,8.0,65.0,15.9994,54.8,11.0,2.0,66.0,1.93,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
