composition,band_gap (eV),sum_MeltingT,mode_NpUnfilled,sum_NpValence,avg_Electronegativity,max_Electronegativity,mode_NUnfilled,max_NpValence,mode_NpValence,min_MeltingT,avg_NpValence,mode_Column,max_Column,mode_Electronegativity,avg_MeltingT,dev_NpValence,mode_GSvolume_pa,mode_NValence,min_GSvolume_pa,range_Column,sum_Column,mode_MendeleevNumber,max_MendeleevNumber,sum_Electronegativity,mode_MeltingT,range_SpaceGroupNumber,mode_Number,mode_AtomicWeight,dev_SpaceGroupNumber,dev_Column,sum_MendeleevNumber,avg_Column,avg_MendeleevNumber,range_MendeleevNumber,dev_NdValence,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled,dev_NpUnfilled
Ac1 Al1 O3,4.1024,2420.8700000000003,2.0,13.0,2.606,3.44,2.0,4.0,4.0,54.8,2.6,16.0,16.0,3.44,484.174,1.6800000000000002,9.105,6.0,9.105,13.0,64.0,87.0,87.0,13.03,54.8,213.0,8.0,15.9994,102.24,3.92,348.0,12.8,69.6,73.0,0.32,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
Ac1 Cr1 O3,2.0031,3667.4,2.0,12.0,2.616,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,733.48,1.92,9.105,6.0,9.105,13.0,57.0,87.0,87.0,13.08,54.8,217.0,8.0,15.9994,103.20000000000002,5.52,324.0,11.4,64.8,73.0,1.52,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ac1 Cu1 O3,0.0,2845.17,2.0,12.0,2.664,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,569.034,1.92,9.105,6.0,9.105,13.0,62.0,87.0,87.0,13.32,54.8,213.0,8.0,15.9994,102.24,4.32,339.0,12.4,67.8,73.0,3.12,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ac1 Fe1 O3,0.9888,3298.4,2.0,12.0,2.6500000000000004,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,659.6800000000001,1.92,9.105,6.0,9.105,13.0,59.0,87.0,87.0,13.25,54.8,217.0,8.0,15.9994,103.20000000000002,5.04,330.0,11.8,66.0,73.0,1.84,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ac1 Ga1 O3,2.8959,1790.31,2.0,13.0,2.646,3.44,2.0,4.0,4.0,54.8,2.6,16.0,16.0,3.44,358.062,1.6800000000000002,9.105,6.0,9.105,13.0,64.0,87.0,87.0,13.23,54.8,213.0,8.0,15.9994,64.0,3.92,349.0,12.8,69.8,73.0,3.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
Ac1 Mn1 O3,0.0,3006.4,2.0,12.0,2.5940000000000003,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,601.2800000000001,1.92,9.105,6.0,9.105,13.0,58.0,87.0,87.0,12.97,54.8,213.0,8.0,15.9994,100.32,5.279999999999999,327.0,11.6,65.39999999999999,73.0,1.52,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ac1 Ni1 O3,0.0,3215.4,2.0,12.0,2.6660000000000004,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,643.08,1.92,9.105,6.0,9.105,13.0,61.0,87.0,87.0,13.33,54.8,213.0,8.0,15.9994,102.24,4.5600000000000005,336.0,12.2,67.2,73.0,2.4800000000000004,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ac1 Ti1 O3,0.0,3428.4,2.0,12.0,2.592,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,685.6800000000001,1.92,9.105,6.0,9.105,13.0,55.0,87.0,87.0,12.96,54.8,213.0,8.0,15.9994,94.8,6.0,318.0,11.0,63.6,73.0,0.72,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ac1 V1 O3,0.0,3670.4,2.0,12.0,2.6100000000000003,3.44,2.0,4.0,4.0,54.8,2.4,16.0,16.0,3.44,734.08,1.92,9.105,6.0,9.105,13.0,56.0,87.0,87.0,13.05,54.8,217.0,8.0,15.9994,103.20000000000002,5.76,321.0,11.2,64.2,73.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Ag1 As1 O3,0.2921,2489.3300000000004,2.0,15.0,2.886,3.44,2.0,4.0,4.0,54.8,3.0,16.0,16.0,3.44,497.866,1.2000000000000002,9.105,6.0,9.105,5.0,74.0,87.0,87.0,14.43,54.8,213.0,8.0,15.9994,88.08000000000001,1.5199999999999996,410.0,14.8,82.0,22.0,4.800000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.7200000000000001
