composition,formation_energy (eV/atom),mode_AtomicWeight,max_Electronegativity,avg_Electronegativity,dev_Electronegativity,sum_Electronegativity,mode_Row,mode_GSvolume_pa,mode_CovalentRadius,range_Electronegativity,avg_Column,dev_NpUnfilled,mode_MendeleevNumber,mode_MeltingT,mode_Number,min_CovalentRadius,dev_NpValence,min_MeltingT,mode_SpaceGroupNumber,sum_NpValence,mode_NValence,max_MendeleevNumber,dev_NdValence,avg_CovalentRadius,avg_NpValence,min_AtomicWeight,min_SpaceGroupNumber,min_GSvolume_pa,mode_Column,min_Number,sum_SpaceGroupNumber,mode_NpUnfilled,sum_MeltingT,mode_NpValence,avg_MeltingT,mode_NUnfilled,avg_SpaceGroupNumber,avg_NdValence,range_SpaceGroupNumber,sum_CovalentRadius,sum_Column,max_NpValence,dev_SpaceGroupNumber,max_Column,sum_NdValence,sum_GSbandgap,range_NpValence,avg_MendeleevNumber,sum_MendeleevNumber,dev_CovalentRadius,max_NValence,sum_NpUnfilled,range_Column,max_GSbandgap,range_GSbandgap,dev_Column,max_NdValence,max_MeltingT,dev_GSbandgap,range_NdValence
Ac1 Al1 O3,-3.690019421,15.9994,3.44,2.606,1.0008,13.03,2.0,9.105,66.0,2.34,12.8,1.12,87.0,54.8,8.0,66.0,1.6800000000000002,54.8,12.0,13.0,6.0,87.0,0.32,106.8,2.6,15.9994,12.0,9.105,16.0,8.0,486.0,2.0,2420.8700000000003,4.0,484.174,2.0,97.2,0.2,213.0,534.0,64.0,4.0,102.24,16.0,1.0,0.0,4.0,69.6,348.0,48.96000000000001,6.0,11.0,13.0,0.0,0.0,3.92,1.0,1323.0,0.0,1.0
Ac1 Cr1 O3,-3.13897213,15.9994,3.44,2.616,0.9888,13.08,2.0,9.105,66.0,2.34,11.4,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,1.52,110.4,2.4,15.9994,12.0,9.105,16.0,8.0,490.0,2.0,3667.4,4.0,733.48,2.0,98.0,1.2,217.0,552.0,57.0,4.0,103.20000000000002,16.0,6.0,0.0,4.0,64.8,324.0,53.28,6.0,6.0,13.0,0.0,0.0,5.52,5.0,2180.0,0.0,5.0
Ac1 Cu1 O3,-2.422892424,15.9994,3.44,2.664,0.9312,13.32,2.0,9.105,66.0,2.34,12.4,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,3.12,109.0,2.4,15.9994,12.0,9.105,16.0,8.0,486.0,2.0,2845.17,4.0,569.034,2.0,97.2,2.2,213.0,545.0,62.0,4.0,102.24,16.0,11.0,0.0,4.0,67.8,339.0,51.60000000000001,11.0,6.0,13.0,0.0,0.0,4.32,10.0,1357.77,0.0,10.0
Ac1 Fe1 O3,-2.771539466,15.9994,3.44,2.6500000000000004,0.9479999999999998,13.25,2.0,9.105,66.0,2.34,11.8,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,1.84,109.0,2.4,15.9994,12.0,9.105,16.0,8.0,490.0,2.0,3298.4,4.0,659.6800000000001,2.0,98.0,1.4,217.0,545.0,59.0,4.0,103.20000000000002,16.0,7.0,0.0,4.0,66.0,330.0,51.60000000000001,8.0,6.0,13.0,0.0,0.0,5.04,6.0,1811.0,0.0,6.0
Ac1 Ga1 O3,-3.063252617,15.9994,3.44,2.646,0.9528,13.23,2.0,9.105,66.0,2.34,12.8,1.12,87.0,54.8,8.0,66.0,1.6800000000000002,54.8,12.0,13.0,6.0,87.0,3.12,107.0,2.6,15.9994,12.0,9.105,16.0,8.0,325.0,2.0,1790.31,4.0,358.062,2.0,65.0,2.2,213.0,535.0,64.0,4.0,64.0,16.0,11.0,0.0,4.0,69.8,349.0,49.2,13.0,11.0,13.0,0.0,0.0,3.92,10.0,1323.0,0.0,10.0
Ac1 Mn1 O3,-2.973630023,15.9994,3.44,2.5940000000000003,1.0152,12.97,2.0,9.105,66.0,2.34,11.6,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,1.52,110.4,2.4,15.9994,12.0,9.105,16.0,8.0,478.0,2.0,3006.4,4.0,601.2800000000001,2.0,95.6,1.2,213.0,552.0,58.0,4.0,100.32,16.0,6.0,0.0,4.0,65.39999999999999,327.0,53.28,7.0,6.0,13.0,0.0,0.0,5.279999999999999,5.0,1519.0,0.0,5.0
Ac1 Ni1 O3,-2.455476575,15.9994,3.44,2.6660000000000004,0.9287999999999998,13.33,2.0,9.105,66.0,2.34,12.2,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,2.4800000000000004,107.4,2.4,15.9994,12.0,9.105,16.0,8.0,486.0,2.0,3215.4,4.0,643.08,2.0,97.2,1.8,213.0,537.0,61.0,4.0,102.24,16.0,9.0,0.0,4.0,67.2,336.0,49.68000000000001,10.0,6.0,13.0,0.0,0.0,4.5600000000000005,8.0,1728.0,0.0,8.0
Ac1 Ti1 O3,-3.607635738,15.9994,3.44,2.592,1.0175999999999998,12.96,2.0,9.105,66.0,2.34,11.0,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.72,114.6,2.4,15.9994,12.0,9.105,16.0,8.0,455.0,2.0,3428.4,4.0,685.6800000000001,2.0,91.0,0.6000000000000001,213.0,573.0,55.0,4.0,94.8,16.0,3.0,0.0,4.0,63.6,318.0,58.32,6.0,6.0,13.0,0.0,0.0,6.0,2.0,1941.0,0.0,2.0
Ac1 V1 O3,-3.141069096,15.9994,3.44,2.6100000000000003,0.996,13.05,2.0,9.105,66.0,2.34,11.2,0.96,87.0,54.8,8.0,66.0,1.92,54.8,12.0,12.0,6.0,87.0,0.96,113.2,2.4,15.9994,12.0,9.105,16.0,8.0,490.0,2.0,3670.4,4.0,734.08,2.0,98.0,0.8,217.0,566.0,56.0,4.0,103.20000000000002,16.0,4.0,0.0,4.0,64.2,321.0,56.64,6.0,6.0,13.0,0.0,0.0,5.76,3.0,2183.0,0.0,3.0
Ag1 As1 O3,-1.269711259,15.9994,3.44,2.886,0.6647999999999998,14.43,2.0,9.105,66.0,1.51,14.8,0.7200000000000001,87.0,54.8,8.0,66.0,1.2000000000000002,54.8,12.0,15.0,6.0,87.0,4.800000000000001,92.4,3.0,15.9994,12.0,9.105,16.0,8.0,427.0,2.0,2489.3300000000004,4.0,497.866,2.0,85.4,4.0,213.0,462.0,74.0,4.0,88.08000000000001,16.0,20.0,0.0,4.0,82.0,410.0,31.680000000000003,15.0,9.0,5.0,0.0,0.0,1.5199999999999996,10.0,1234.93,0.0,10.0
